id,poli,nomor_antrian,nama_pasien,nik,status,timestamp,dokter
1001,Poli KB,POLI-592,Cut Vanesa Wastuti,8330089515886347,done,2025-03-10 11:00:00,dr. Fajar
1002,Poli Umum,POLI-820,Empluk Winarno,9259273290164999,serving,2025-02-02 10:00:00,dr. Dina
1003,Poli KIA,POLI-752,Septi Hariyah,4426392135085216,waiting,2025-02-26 13:00:00,dr. Eka
1004,Poli Lansia,POLI-138,"Puti Hana Suartini, S.Kom",5256383528774012,done,2025-03-04 13:00:00,dr. Eka
1005,Poli Gizi,POLI-226,"Drs. Harjasa Uwais, S.E.",6262924836165117,serving,2025-04-24 16:00:00,dr. Budi
1006,Poli KB,POLI-906,Drs. Sidiq Hidayanto,9334788999225318,serving,2025-03-13 11:00:00,dr. Eka
1007,Poli KIA,POLI-126,Rini Pradipta,8985010534937140,done,2025-02-23 08:00:00,dr. Andi
1008,Poli Gizi,POLI-961,Sutan Drajat Adriansyah,8361176048011009,done,2025-01-04 18:00:00,dr. Budi
1009,Poli KB,POLI-179,Drs. Caket Purwanti,0681607581189272,waiting,2025-03-14 10:00:00,dr. Budi
1010,Poli Gizi,POLI-015,Dalima Prasasta,8347919733821849,done,2025-02-09 08:00:00,dr. Fajar
1011,Poli KB,POLI-334,Eluh Hutasoit,1958332801632753,done,2025-01-12 18:00:00,dr. Budi
1012,Poli Umum,POLI-953,Ir. Mutia Wasita,3049759709992235,done,2025-04-19 15:00:00,dr. Andi
1013,Poli Gigi,POLI-984,Prayoga Wijayanti,0350286324044156,done,2025-05-22 13:00:00,dr. Andi
1014,Poli Gizi,POLI-837,Bambang Utama,7724225019647853,done,2025-05-07 08:00:00,dr. Eka
1015,Poli Gizi,POLI-285,Ganda Tamba,6543132058281042,waiting,2025-01-01 17:00:00,dr. Citra
1016,Poli Lansia,POLI-184,Waluyo Pradana,0840555001408321,done,2025-04-04 16:00:00,dr. Budi
1017,Poli Gizi,POLI-317,Ida Tampubolon,1247705314140261,serving,2025-05-18 13:00:00,dr. Dina
1018,Poli Umum,POLI-547,Jindra Hutagalung,9143778156542706,waiting,2025-01-30 08:00:00,dr. Fajar
1019,Poli KB,POLI-331,Natalia Halimah,3670713964241481,done,2025-04-05 11:00:00,dr. Eka
1020,Poli KB,POLI-658,Asmianto Ardianto,1134158061104770,done,2025-02-28 09:00:00,dr. Budi
1021,Poli KB,POLI-032,Queen Suryono,4487872742651454,done,2025-03-12 12:00:00,dr. Fajar
1022,Poli KB,POLI-910,Drs. Mahmud Nababan,4125169465576496,done,2025-03-05 16:00:00,dr. Eka
1023,Poli Gigi,POLI-100,Cemeti Susanti,3823770210197713,done,2025-01-18 14:00:00,dr. Fajar
1024,Poli Gizi,POLI-392,"Narji Najmudin, S.IP",3621153860364589,serving,2025-05-17 15:00:00,dr. Fajar
1025,Poli KB,POLI-634,Puspa Ramadan,0509006808787901,done,2025-05-10 10:00:00,dr. Dina
1026,Poli Umum,POLI-423,Hilda Tampubolon,9295002874375453,done,2025-01-19 08:00:00,dr. Dina
1027,Poli Gigi,POLI-607,"Anastasia Yuliarti, S.H.",5254938940972677,waiting,2025-02-05 16:00:00,dr. Citra
1028,Poli KIA,POLI-953,Ir. Lega Utami,0621524062082693,waiting,2025-05-14 09:00:00,dr. Citra
1029,Poli Gizi,POLI-892,dr. Oliva Hasanah,6029424178626479,waiting,2025-01-17 16:00:00,dr. Citra
1030,Poli Gizi,POLI-314,Jamalia Sihotang,6493057455334292,done,2025-04-01 10:00:00,dr. Andi
1031,Poli KIA,POLI-782,Michelle Habibi,1920405628190100,done,2025-01-20 18:00:00,dr. Andi
1032,Poli Gizi,POLI-705,Karen Wastuti,9945725219916355,done,2025-02-15 15:00:00,dr. Dina
1033,Poli Umum,POLI-230,Hadi Mandala,4579367100901280,done,2025-03-22 17:00:00,dr. Eka
1034,Poli Umum,POLI-726,Yono Puspita,8607877131740777,serving,2025-02-27 10:00:00,dr. Budi
1035,Poli Gizi,POLI-606,Nasab Hasanah,0302743791029502,done,2025-04-06 15:00:00,dr. Budi
1036,Poli Gizi,POLI-285,Drs. Natalia Manullang,1056510968038795,waiting,2025-03-09 13:00:00,dr. Eka
1037,Poli KIA,POLI-197,"H. Irnanto Tampubolon, M.TI.",0408338807672102,done,2025-01-08 17:00:00,dr. Fajar
1038,Poli KIA,POLI-657,"Eka Suartini, S.E.",9142361504557554,done,2025-03-30 17:00:00,dr. Andi
1039,Poli Gigi,POLI-787,Ella Narpati,0230023218153298,done,2025-04-08 09:00:00,dr. Andi
1040,Poli KB,POLI-114,Zelaya Maryati,3962058390476115,serving,2025-04-09 17:00:00,dr. Andi
1041,Poli Umum,POLI-329,drg. Hasna Prasasta,5924005764902131,done,2025-02-21 14:00:00,dr. Dina
1042,Poli Gizi,POLI-663,"Sutan Aslijan Dongoran, S.Pd",7154169299150566,waiting,2025-05-05 09:00:00,dr. Citra
1043,Poli KIA,POLI-344,"Ir. Nadia Hasanah, S.T.",7749232286754341,waiting,2025-05-19 11:00:00,dr. Eka
1044,Poli KIA,POLI-657,Dr. Alika Nababan,3922631147620677,waiting,2025-04-13 13:00:00,dr. Budi
1045,Poli KB,POLI-918,"Lintang Suryono, S.E.I",4867114199252205,waiting,2025-01-11 12:00:00,dr. Eka
1046,Poli KIA,POLI-182,Harto Mangunsong,3332811746632552,done,2025-03-05 09:00:00,dr. Eka
1047,Poli KIA,POLI-744,Paulin Mayasari,0385350432957458,done,2025-03-13 14:00:00,dr. Fajar
1048,Poli KB,POLI-293,Endra Thamrin,0024780728720480,done,2025-02-06 18:00:00,dr. Budi
1049,Poli KB,POLI-076,Lidya Sihotang,0962415267889693,waiting,2025-02-01 12:00:00,dr. Eka
1050,Poli Gigi,POLI-354,"Humaira Hutagalung, M.Pd",0837391826808705,waiting,2025-01-28 14:00:00,dr. Eka
1051,Poli Lansia,POLI-232,Banara Waskita,5256036128914734,done,2025-01-08 09:00:00,dr. Budi
1052,Poli Gizi,POLI-761,Ian Widodo,1327223793203077,done,2025-03-25 18:00:00,dr. Andi
1053,Poli Gigi,POLI-280,Cici Sitorus,9507765772031564,waiting,2025-01-02 18:00:00,dr. Dina
1054,Poli Umum,POLI-156,drg. Gara Palastri,3543487482422726,waiting,2025-03-08 09:00:00,dr. Eka
1055,Poli Gigi,POLI-858,"Cut Violet Lestari, S.Sos",6746009549398889,waiting,2025-04-04 09:00:00,dr. Citra
1056,Poli KIA,POLI-773,Halima Prakasa,5960837955146008,done,2025-02-09 09:00:00,dr. Fajar
1057,Poli Gigi,POLI-488,"Jumari Januar, M.Farm",9701088904490730,done,2025-02-08 09:00:00,dr. Andi
1058,Poli Gigi,POLI-795,"Endah Maheswara, M.Kom.",7150117724922076,done,2025-02-21 09:00:00,dr. Fajar
1059,Poli Gizi,POLI-505,"T. Pranawa Setiawan, M.TI.",4002799834210900,done,2025-01-14 13:00:00,dr. Dina
1060,Poli KIA,POLI-463,dr. Kania Puspita,8286129949366888,done,2025-03-28 12:00:00,dr. Fajar
1061,Poli Umum,POLI-305,"Janet Mardhiyah, S.E.I",8680132614857796,waiting,2025-04-25 12:00:00,dr. Andi
1062,Poli Umum,POLI-844,"Jasmani Yuliarti, S.Gz",4765372203443152,waiting,2025-02-06 15:00:00,dr. Citra
1063,Poli KIA,POLI-211,Zelaya Anggraini,0135410302370674,done,2025-01-24 09:00:00,dr. Eka
1064,Poli Umum,POLI-991,Hj. Mutia Pangestu,9395556173174712,waiting,2025-04-19 10:00:00,dr. Andi
1065,Poli KB,POLI-611,Dalimin Putra,0045352440003267,done,2025-05-15 17:00:00,dr. Andi
1066,Poli KB,POLI-878,Zalindra Habibi,1802413363487450,done,2025-01-01 14:00:00,dr. Eka
1067,Poli Lansia,POLI-074,Jessica Dabukke,5332607419376389,waiting,2025-02-27 15:00:00,dr. Andi
1068,Poli Gizi,POLI-136,Ami Rahmawati,4930389558037323,done,2025-04-12 12:00:00,dr. Dina
1069,Poli KB,POLI-164,"T. Kayun Hastuti, M.Farm",0511600569488865,done,2025-05-13 13:00:00,dr. Dina
1070,Poli Gizi,POLI-747,Tari Hutapea,7942590730574566,done,2025-01-06 09:00:00,dr. Fajar
1071,Poli KIA,POLI-387,Bakianto Budiyanto,4985526597987296,waiting,2025-05-13 10:00:00,dr. Dina
1072,Poli Lansia,POLI-899,"Banara Anggraini, M.TI.",2279405200949810,serving,2025-01-13 09:00:00,dr. Citra
1073,Poli Gigi,POLI-981,Sutan Wisnu Haryanto,7303347587110272,done,2025-02-21 08:00:00,dr. Dina
1074,Poli Lansia,POLI-308,Yance Wahyudin,3025699691932182,done,2025-01-07 13:00:00,dr. Eka
1075,Poli Lansia,POLI-473,Ika Wijaya,6747711285726479,done,2025-04-30 12:00:00,dr. Andi
1076,Poli Lansia,POLI-932,Raisa Dongoran,3240558104035666,waiting,2025-02-09 15:00:00,dr. Andi
1077,Poli Gigi,POLI-637,"Jelita Pertiwi, M.Farm",8021546002800921,done,2025-05-27 17:00:00,dr. Dina
1078,Poli KIA,POLI-258,Wirda Namaga,4132093026914884,done,2025-02-22 14:00:00,dr. Fajar
1079,Poli Gigi,POLI-736,"Limar Prasasta, M.Farm",6083157975348586,waiting,2025-01-11 11:00:00,dr. Fajar
1080,Poli KB,POLI-294,R. Mila Putra,3734386801278770,serving,2025-02-25 17:00:00,dr. Budi
1081,Poli Umum,POLI-754,Hj. Ika Latupono,1524493407706679,waiting,2025-01-14 09:00:00,dr. Fajar
1082,Poli KB,POLI-335,Edison Lailasari,5019814817988439,done,2025-01-06 10:00:00,dr. Budi
1083,Poli Gigi,POLI-556,"dr. Genta Agustina, S.Gz",9229189591031508,waiting,2025-03-28 09:00:00,dr. Dina
1084,Poli Lansia,POLI-341,Balijan Saputra,1730642034231697,done,2025-05-10 15:00:00,dr. Dina
1085,Poli Umum,POLI-018,Tgk. Ozy Siregar,5658535447444478,done,2025-04-30 12:00:00,dr. Eka
1086,Poli Umum,POLI-307,Mahdi Novitasari,2162413531915049,serving,2025-05-14 18:00:00,dr. Citra
1087,Poli Lansia,POLI-568,Kunthara Waskita,8413735400547990,done,2025-01-06 17:00:00,dr. Eka
1088,Poli Gigi,POLI-840,drg. Ismail Rajata,1858838211809930,done,2025-04-22 16:00:00,dr. Dina
1089,Poli KIA,POLI-180,Cawisono Padmasari,6287890586889625,done,2025-05-07 11:00:00,dr. Dina
1090,Poli Gizi,POLI-171,Kusuma Anggraini,2490933544535736,done,2025-02-11 17:00:00,dr. Eka
1091,Poli Lansia,POLI-179,Febi Hassanah,2330849598332218,done,2025-02-13 16:00:00,dr. Citra
1092,Poli KIA,POLI-567,Keisha Saptono,1379697029295377,done,2025-02-04 17:00:00,dr. Budi
1093,Poli Lansia,POLI-701,Lasmono Lailasari,6882363183704461,done,2025-02-10 10:00:00,dr. Andi
1094,Poli Lansia,POLI-394,"Surya Aryani, S.IP",7887169231580711,waiting,2025-04-14 15:00:00,dr. Budi
1095,Poli Gizi,POLI-382,"Mitra Adriansyah, S.Gz",5559383284336380,serving,2025-04-02 10:00:00,dr. Eka
1096,Poli Umum,POLI-948,Dadi Rajasa,6150296962605424,done,2025-04-24 11:00:00,dr. Budi
1097,Poli Lansia,POLI-466,Kasiyah Maulana,1131798866593639,done,2025-01-02 18:00:00,dr. Fajar
1098,Poli Gigi,POLI-766,"Dr. Ana Najmudin, S.Psi",2470839361251100,waiting,2025-03-16 09:00:00,dr. Dina
1099,Poli KIA,POLI-581,Cindy Wasita,5026758288874568,done,2025-04-11 18:00:00,dr. Dina
1100,Poli KB,POLI-134,"R.M. Naradi Sitompul, S.Ked",1600626676703522,done,2025-03-26 13:00:00,dr. Eka
1101,Poli KIA,POLI-905,Padma Wijaya,1245194471241539,waiting,2025-04-16 15:00:00,dr. Budi
1102,Poli Lansia,POLI-372,"R.A. Yuni Gunarto, S.Farm",4223783077939088,waiting,2025-01-03 10:00:00,dr. Fajar
1103,Poli KIA,POLI-407,Tgk. Carub Prabowo,9329389918911181,done,2025-01-14 15:00:00,dr. Dina
1104,Poli Lansia,POLI-190,Rachel Nugroho,4956087227688477,serving,2025-04-23 08:00:00,dr. Dina
1105,Poli KB,POLI-868,Sarah Rajasa,6099694617854531,done,2025-02-11 17:00:00,dr. Dina
1106,Poli Umum,POLI-447,Tgk. Silvia Pangestu,4900218258474435,done,2025-01-10 08:00:00,dr. Budi
1107,Poli KB,POLI-390,"Paris Hutagalung, S.Sos",0066445449793199,done,2025-03-25 14:00:00,dr. Dina
1108,Poli Lansia,POLI-462,"Tgk. Labuh Mangunsong, S.IP",9289998863496741,waiting,2025-03-16 12:00:00,dr. Andi
1109,Poli Gizi,POLI-119,Adhiarja Farida,4657791479672213,done,2025-03-11 15:00:00,dr. Citra
1110,Poli Gizi,POLI-963,"Jessica Samosir, S.Pt",7037625780120331,done,2025-01-05 16:00:00,dr. Eka
1111,Poli Gizi,POLI-659,Lalita Waluyo,6042380733429460,done,2025-05-15 11:00:00,dr. Eka
1112,Poli Gigi,POLI-424,"Yono Wijayanti, M.Pd",4539196623380436,done,2025-02-10 08:00:00,dr. Eka
1113,Poli KIA,POLI-049,"Zulfa Simanjuntak, M.Kom.",2059917328200210,done,2025-02-05 08:00:00,dr. Budi
1114,Poli KB,POLI-864,Mila Wastuti,4048004416526549,serving,2025-03-08 13:00:00,dr. Dina
1115,Poli Lansia,POLI-598,"Kania Hakim, S.Sos",7157816713162756,waiting,2025-02-12 12:00:00,dr. Budi
1116,Poli Lansia,POLI-942,Chelsea Nababan,7981934548222742,waiting,2025-04-18 13:00:00,dr. Fajar
1117,Poli Gigi,POLI-751,Carla Firgantoro,4689773643087870,waiting,2025-03-16 18:00:00,dr. Budi
1118,Poli KIA,POLI-591,"drg. Zahra Mansur, M.Pd",1253645812125943,done,2025-04-21 10:00:00,dr. Citra
1119,Poli Gizi,POLI-076,"Dr. Septi Natsir, S.T.",5939916073120002,done,2025-03-01 16:00:00,dr. Budi
1120,Poli Gigi,POLI-323,Hasna Widiastuti,7714196578985506,done,2025-03-11 14:00:00,dr. Dina
1121,Poli KB,POLI-702,"Dr. Ellis Purwanti, S.Farm",5488466318015473,done,2025-03-29 18:00:00,dr. Citra
1122,Poli Gizi,POLI-357,Restu Laksita,0543891241414469,serving,2025-02-20 09:00:00,dr. Eka
1123,Poli Umum,POLI-474,"Zizi Latupono, M.TI.",9157714265801422,serving,2025-01-16 08:00:00,dr. Budi
1124,Poli KB,POLI-453,Nugraha Saputra,5339331339024752,done,2025-02-18 11:00:00,dr. Eka
1125,Poli Lansia,POLI-547,Puti Siregar,1752776468540111,done,2025-05-23 11:00:00,dr. Budi
1126,Poli Lansia,POLI-567,Wardi Astuti,7759188775319355,done,2025-01-16 13:00:00,dr. Budi
1127,Poli Gizi,POLI-569,Bambang Kuswandari,4303043905180958,done,2025-03-11 13:00:00,dr. Eka
1128,Poli Gizi,POLI-640,Ibrani Iswahyudi,3291939675729517,done,2025-03-14 13:00:00,dr. Andi
1129,Poli Umum,POLI-859,"Yuni Lailasari, M.Ak",0521144792653689,done,2025-03-02 13:00:00,dr. Dina
1130,Poli Lansia,POLI-047,Pangeran Safitri,4726763066322978,done,2025-03-22 18:00:00,dr. Dina
1131,Poli Lansia,POLI-136,dr. Warji Pudjiastuti,7189956298930741,serving,2025-01-31 14:00:00,dr. Eka
1132,Poli Lansia,POLI-812,"Jasmin Palastri, S.Pt",8866969890957676,done,2025-03-22 08:00:00,dr. Eka
1133,Poli Lansia,POLI-232,Taufan Damanik,0916645954855595,waiting,2025-01-28 17:00:00,dr. Eka
1134,Poli KIA,POLI-627,R.A. Salwa Suryono,9961926147144767,done,2025-01-23 17:00:00,dr. Citra
1135,Poli Umum,POLI-014,"Padmi Astuti, S.E.I",1364098088364906,done,2025-02-04 13:00:00,dr. Budi
1136,Poli KIA,POLI-667,Gading Yuniar,0410010262981512,done,2025-02-23 14:00:00,dr. Eka
1137,Poli KB,POLI-772,"Panji Mansur, M.Ak",9815098726241439,done,2025-01-10 16:00:00,dr. Budi
1138,Poli KIA,POLI-073,"Galih Nuraini, M.TI.",7957843283118596,done,2025-04-04 17:00:00,dr. Dina
1139,Poli Gigi,POLI-996,Bakijan Winarno,0346095492072165,serving,2025-01-03 10:00:00,dr. Eka
1140,Poli Lansia,POLI-661,Anita Wijayanti,1042987327220384,done,2025-02-02 14:00:00,dr. Budi
1141,Poli Gigi,POLI-655,Taufan Winarno,0657236176435597,done,2025-04-13 16:00:00,dr. Budi
1142,Poli Lansia,POLI-562,Argono Pudjiastuti,3994198528810805,waiting,2025-01-29 09:00:00,dr. Fajar
1143,Poli Lansia,POLI-180,Atmaja Damanik,5018659245601031,done,2025-02-27 18:00:00,dr. Dina
1144,Poli KB,POLI-152,Betania Prasetya,3365232240818262,done,2025-04-09 16:00:00,dr. Andi
1145,Poli Gigi,POLI-481,"Estiono Mardhiyah, M.Kom.",0764621566832428,done,2025-01-03 18:00:00,dr. Budi
1146,Poli Lansia,POLI-652,"Limar Laksmiwati, M.TI.",9259412183157937,done,2025-04-12 17:00:00,dr. Eka
1147,Poli Gigi,POLI-570,Dt. Arsipatra Wulandari,0266959720048288,waiting,2025-04-10 14:00:00,dr. Budi
1148,Poli KB,POLI-894,dr. Ika Sirait,7353000677680780,done,2025-01-23 16:00:00,dr. Eka
1149,Poli Gizi,POLI-404,"Tari Simbolon, S.Pt",0868970715475567,done,2025-04-02 17:00:00,dr. Fajar
1150,Poli Umum,POLI-324,Uli Melani,5616343714567521,done,2025-03-09 16:00:00,dr. Budi
1151,Poli Umum,POLI-097,"R.M. Purwanto Susanti, S.Pd",9939202713431640,waiting,2025-01-28 17:00:00,dr. Fajar
1152,Poli Gigi,POLI-458,Hj. Fitriani Zulaika,0609046901193377,waiting,2025-04-06 08:00:00,dr. Andi
1153,Poli Lansia,POLI-531,"Dr. Bagiya Purwanti, M.Farm",0476176627072930,serving,2025-03-12 11:00:00,dr. Andi
1154,Poli Lansia,POLI-634,"Drs. Yani Rahimah, S.T.",2858332476325524,done,2025-05-24 16:00:00,dr. Eka
1155,Poli Umum,POLI-680,Simon Natsir,1005822793062075,waiting,2025-03-03 10:00:00,dr. Dina
1156,Poli Gizi,POLI-469,"Genta Namaga, S.Gz",1804206880963813,done,2025-04-08 11:00:00,dr. Citra
1157,Poli KIA,POLI-696,"T. Mitra Usamah, S.Gz",2984770505445434,done,2025-02-26 10:00:00,dr. Dina
1158,Poli Umum,POLI-961,Zamira Sirait,3183142937140142,done,2025-01-24 10:00:00,dr. Fajar
1159,Poli Gigi,POLI-542,Vanesa Uyainah,1046636103504168,waiting,2025-05-21 14:00:00,dr. Fajar
1160,Poli Gigi,POLI-627,"Sadina Haryanto, M.Farm",2885463593418572,done,2025-01-30 15:00:00,dr. Eka
1161,Poli Umum,POLI-990,"Agnes Marpaung, M.Kom.",2585992809236849,waiting,2025-01-06 15:00:00,dr. Dina
1162,Poli Gigi,POLI-873,Reza Rajasa,1723190208362446,done,2025-04-30 08:00:00,dr. Budi
1163,Poli KB,POLI-682,"Ir. Melinda Utami, S.Farm",3853261643769560,done,2025-02-16 10:00:00,dr. Eka
1164,Poli Gigi,POLI-341,Saiful Aryani,3356802883718478,serving,2025-02-11 10:00:00,dr. Dina
1165,Poli KB,POLI-684,"Ir. Wisnu Waskita, M.Farm",9928649048345012,waiting,2025-05-31 14:00:00,dr. Eka
1166,Poli Gigi,POLI-411,Paramita Permadi,6626024019440942,done,2025-01-03 11:00:00,dr. Citra
1167,Poli KIA,POLI-131,Eja Tarihoran,4130618695963133,done,2025-05-20 12:00:00,dr. Budi
1168,Poli Umum,POLI-378,Usyi Prasetya,5055701574025831,waiting,2025-02-08 10:00:00,dr. Dina
1169,Poli Umum,POLI-876,Nova Laksita,1539637106005671,done,2025-05-18 08:00:00,dr. Dina
1170,Poli KIA,POLI-648,"Nasab Prasetyo, M.M.",9709555845398570,done,2025-05-22 10:00:00,dr. Citra
1171,Poli Umum,POLI-310,Septi Haryanti,2618074966954040,waiting,2025-04-27 18:00:00,dr. Budi
1172,Poli Gigi,POLI-035,Puti Siti Novitasari,5918453061512676,waiting,2025-02-19 11:00:00,dr. Eka
1173,Poli Gigi,POLI-348,"Manah Sihombing, M.TI.",7693621053465152,done,2025-03-30 10:00:00,dr. Budi
1174,Poli KIA,POLI-876,R. Genta Prakasa,6710689178309469,done,2025-02-08 14:00:00,dr. Budi
1175,Poli KIA,POLI-322,Garan Aryani,3086779098663715,serving,2025-05-30 16:00:00,dr. Fajar
1176,Poli Gigi,POLI-826,Puti Putri Sitompul,0713146828660604,done,2025-03-11 13:00:00,dr. Budi
1177,Poli Gigi,POLI-798,Wani Suartini,5430434198413728,done,2025-05-02 09:00:00,dr. Andi
1178,Poli Gigi,POLI-286,"Dono Usamah, S.I.Kom",4525666785592936,done,2025-04-18 11:00:00,dr. Budi
1179,Poli Gizi,POLI-348,"Puti Wani Januar, M.Pd",7110753706537152,done,2025-02-23 08:00:00,dr. Budi
1180,Poli Umum,POLI-417,Ir. Intan Hakim,3855944590570425,serving,2025-04-21 18:00:00,dr. Eka
1181,Poli KB,POLI-773,Kania Gunawan,6981683244261259,done,2025-04-10 14:00:00,dr. Citra
1182,Poli Gigi,POLI-892,"Candrakanta Mahendra, M.Pd",5713522028370900,waiting,2025-03-19 15:00:00,dr. Fajar
1183,Poli KB,POLI-234,drg. Humaira Firmansyah,6023331036337706,done,2025-04-03 12:00:00,dr. Dina
1184,Poli KB,POLI-186,Dian Putra,2900327225350078,done,2025-04-02 08:00:00,dr. Fajar
1185,Poli KIA,POLI-843,Wulan Megantara,2391060654196837,done,2025-03-04 16:00:00,dr. Andi
1186,Poli Umum,POLI-793,"Sutan Cecep Mangunsong, S.Psi",5097273584016293,done,2025-02-27 15:00:00,dr. Fajar
1187,Poli KIA,POLI-608,"Dr. Karsana Permadi, S.E.I",3973540712881751,waiting,2025-02-09 12:00:00,dr. Fajar
1188,Poli Umum,POLI-256,"drg. Jessica Puspasari, S.Ked",3019961938170424,done,2025-04-12 11:00:00,dr. Eka
1189,Poli KIA,POLI-627,Edi Winarsih,9047353858051892,done,2025-04-05 09:00:00,dr. Eka
1190,Poli Gizi,POLI-905,Gawati Oktaviani,6534977758921244,waiting,2025-05-29 14:00:00,dr. Budi
1191,Poli KB,POLI-799,"Gada Halim, S.Gz",7440254441572576,waiting,2025-02-08 14:00:00,dr. Fajar
1192,Poli KB,POLI-570,Hesti Kuswoyo,3619978419004533,waiting,2025-01-09 15:00:00,dr. Andi
1193,Poli Gizi,POLI-548,Uda Nasyidah,2341336037928003,done,2025-03-13 18:00:00,dr. Dina
1194,Poli Gigi,POLI-001,Pangestu Firmansyah,0248588360796335,done,2025-01-22 18:00:00,dr. Citra
1195,Poli Lansia,POLI-296,Vanesa Irawan,1778113258739137,serving,2025-03-24 10:00:00,dr. Citra
1196,Poli Gizi,POLI-743,Endra Dongoran,5065982979597196,done,2025-04-11 12:00:00,dr. Dina
1197,Poli KIA,POLI-282,Ida Pangestu,1050900290018958,done,2025-01-08 14:00:00,dr. Andi
1198,Poli KIA,POLI-820,"Margana Purnawati, S.Sos",9455376327508965,done,2025-02-11 09:00:00,dr. Fajar
1199,Poli Lansia,POLI-767,Dr. Kalim Budiman,8487513900064692,done,2025-04-19 12:00:00,dr. Andi
1200,Poli KIA,POLI-979,"Drs. Gaduh Pangestu, M.Ak",4613769474552188,done,2025-04-02 11:00:00,dr. Fajar
1201,Poli KIA,POLI-496,Usyi Uwais,8805760420174404,done,2025-05-07 08:00:00,dr. Citra
1202,Poli KIA,POLI-923,Gandi Winarsih,5538539490904959,done,2025-04-27 17:00:00,dr. Eka
1203,Poli Lansia,POLI-968,R. Hardana Usamah,5756373917848305,done,2025-05-04 12:00:00,dr. Budi
1204,Poli KIA,POLI-004,"Sutan Caraka Namaga, S.Psi",0990886241557637,done,2025-05-26 08:00:00,dr. Budi
1205,Poli Lansia,POLI-096,Karja Maryadi,1218526385812605,done,2025-02-25 13:00:00,dr. Eka
1206,Poli KIA,POLI-270,"Citra Haryanto, S.I.Kom",1826665177711084,done,2025-05-04 15:00:00,dr. Eka
1207,Poli Lansia,POLI-422,Banawa Yuliarti,2059352982551287,done,2025-04-27 12:00:00,dr. Dina
1208,Poli Umum,POLI-181,Kamal Hariyah,5244800378156359,serving,2025-01-12 16:00:00,dr. Budi
1209,Poli Lansia,POLI-834,Pardi Maheswara,5705227746588120,done,2025-01-21 13:00:00,dr. Budi
1210,Poli Lansia,POLI-827,Zelaya Hutapea,7811189683096181,done,2025-05-03 15:00:00,dr. Andi
1211,Poli Umum,POLI-036,H. Eko Wibowo,3490951761332256,done,2025-01-11 18:00:00,dr. Budi
1212,Poli Umum,POLI-474,Gangsa Firgantoro,6059973128158405,done,2025-03-13 12:00:00,dr. Eka
1213,Poli KIA,POLI-866,"Ir. Gaduh Anggraini, S.Sos",7640148757947262,done,2025-04-01 12:00:00,dr. Budi
1214,Poli KB,POLI-755,Cayadi Wibisono,6996514729618323,done,2025-03-16 18:00:00,dr. Andi
1215,Poli Gigi,POLI-603,"H. Hasta Ardianto, S.Farm",9061575182256984,serving,2025-04-25 08:00:00,dr. Citra
1216,Poli KIA,POLI-270,Lantar Sihombing,3125965010037057,done,2025-01-09 14:00:00,dr. Andi
1217,Poli Gizi,POLI-318,Dr. Shakila Usada,5604062638667094,done,2025-04-29 13:00:00,dr. Budi
1218,Poli Gigi,POLI-980,dr. Vinsen Maheswara,3148534682776849,waiting,2025-05-05 10:00:00,dr. Fajar
1219,Poli Umum,POLI-361,"Vera Damanik, S.Pd",9579568774077561,done,2025-05-17 10:00:00,dr. Andi
1220,Poli Gigi,POLI-528,dr. Ajeng Firgantoro,2281268856662085,waiting,2025-05-15 08:00:00,dr. Budi
1221,Poli Lansia,POLI-153,Bakianto Prayoga,4937298217146170,done,2025-01-31 16:00:00,dr. Citra
1222,Poli KIA,POLI-612,"R.M. Wakiman Kuswandari, S.Pd",5923770560932505,done,2025-05-11 09:00:00,dr. Eka
1223,Poli KB,POLI-203,Indra Prasetyo,7727257800491461,done,2025-04-28 15:00:00,dr. Dina
1224,Poli KB,POLI-322,Diah Hidayanto,1728580543938699,done,2025-04-22 11:00:00,dr. Budi
1225,Poli KB,POLI-926,"Hj. Dinda Gunawan, S.Farm",7505059659134035,done,2025-03-17 15:00:00,dr. Andi
1226,Poli Gizi,POLI-481,Heru Kusmawati,6803583751817533,serving,2025-04-20 09:00:00,dr. Budi
1227,Poli Gizi,POLI-571,"Perkasa Hutagalung, S.Gz",7147649451120039,done,2025-05-18 08:00:00,dr. Andi
1228,Poli KIA,POLI-463,R. Alika Rajata,1347669814126121,done,2025-02-08 14:00:00,dr. Fajar
1229,Poli Gigi,POLI-046,R.A. Victoria Prakasa,8829179745486755,done,2025-05-29 11:00:00,dr. Eka
1230,Poli KB,POLI-985,Gamani Wacana,2199880261192421,done,2025-05-11 16:00:00,dr. Eka
1231,Poli Lansia,POLI-347,Elon Tampubolon,8778504350285168,done,2025-04-03 12:00:00,dr. Fajar
1232,Poli KB,POLI-392,KH. Alambana Natsir,5449232874199650,serving,2025-02-04 18:00:00,dr. Dina
1233,Poli Gigi,POLI-388,"Hadi Suryono, S.Farm",1860672442640932,done,2025-05-27 10:00:00,dr. Fajar
1234,Poli KB,POLI-630,"Dr. Calista Irawan, M.Ak",4471405553211427,done,2025-03-04 14:00:00,dr. Dina
1235,Poli Lansia,POLI-788,Cakrawangsa Budiyanto,5922646107402925,waiting,2025-03-06 17:00:00,dr. Dina
1236,Poli Gizi,POLI-810,Iriana Hariyah,6940841499874363,done,2025-05-12 14:00:00,dr. Eka
